Geography,Views,Watch time (hours),Average view duration
Total,5035094,634069.089,0:08:24
US,3253659,443534.2579,0:09:12
GB,313058,23809.9457,0:05:07
CA,160479,20214.6684,0:08:09
IN,48855,6429.7805,0:08:01
AU,31406,3841.5533,0:07:45
DE,29432,2919.027,0:06:49
NL,27494,4053.6576,0:09:29
PH,20285,1571.5202,0:04:54
KR,15400,2334.9672,0:09:24
JP,13234,2398.7525,0:11:24
NZ,10526,1393.4751,0:08:04
FR,9292,1202.8859,0:08:01
IT,9196,975.2315,0:06:47
ZA,8571,1092.663,0:07:40
SG,6256,715.0292,0:08:12
BR,5644,866.1606,0:09:44
ES,5313,1074.4767,0:12:11
MY,5222,554.6014,0:06:47
TW,4490,756.0867,0:10:29
MX,4092,1012.7376,0:15:19
SA,3925,421.4165,0:07:26
ID,3683,411.2042,0:07:12
PL,3618,300.3695,0:06:03
AE,3587,449.6589,0:07:43
HK,3510,474.1723,0:09:10
NG,2772,376.1509,0:08:12
IE,2323,180.8714,0:04:53
CL,1520,339.1885,0:13:45
CH,1405,261.3192,0:11:20
KE,1384,190.2095,0:08:20
SE,1348,182.4226,0:09:15
TH,1271,172.3087,0:08:27
RU,1262,83.7067,0:04:08
NO,1165,191.4001,0:10:09
HU,1145,236.6043,0:13:22
BB,1024,275.7417,0:17:06
BE,916,120.7856,0:08:26
VN,912,69.992,0:04:50
RO,719,97.4324,0:08:42
CO,709,201.8829,0:17:05
AT,705,101.3837,0:09:13
PT,701,109.2463,0:09:42
KW,678,60.7512,0:05:22
QA,637,74.7853,0:07:31
AR,620,160.1792,0:15:30
DK,557,156.8406,0:16:53
FI,556,130.8574,0:15:05
GH,542,124.4864,0:14:02
LK,520,32.7274,0:03:56
IL,492,71.5533,0:08:58
GR,487,75.4383,0:09:51
JM,487,94.1445,0:12:31
CZ,436,51.1655,0:08:46
TT,423,84.4679,0:11:58
UA,340,18.283,0:03:34
VE,295,60.1992,0:12:40
TR,293,23.1469,0:05:40
PR,280,23.361,0:05:24
PE,267,47.3927,0:11:19
SK,248,16.8841,0:09:22
UG,213,33.0945,0:09:19
BH,204,47.2251,0:13:53
PK,168,11.2694,0:04:01
BS,159,41.0409,0:15:29
GT,136,32.0787,0:15:16
BG,134,18.093,0:08:45
ZW,122,16.0492,0:07:53
CR,108,29.4009,0:18:45
SI,108,7.8959,0:04:23
CN,103,20.789,0:12:06
TZ,99,9.9621,0:06:42
EC,98,16.3099,0:09:59
RS,91,1.8794,0:01:14
DO,86,9.5466,0:07:44
KN,78,13.5708,0:10:26
MW,75,0.9454,0:00:53
GY,72,3.0981,0:02:34
CY,70,3.5918,0:03:04
EG,66,2.2732,0:04:00
OM,65,8.2376,0:07:36
UY,64,5.6509,0:05:17
EE,60,3.1436,0:03:08
MO,57,4.3787,0:04:36
ZM,57,9.7275,0:10:14
HR,56,3.3777,0:03:37
TG,56,12.1142,0:12:58
JO,53,3.6328,0:04:06
BM,50,8.9093,0:10:41
VC,46,1.2062,0:01:34
MT,45,1.5539,0:02:04
LB,40,6.4153,0:09:37
LS,38,3.8312,0:06:02
CD,35,12.3612,0:21:11
CI,33,2.6381,0:04:47
MP,32,0.1836,0:00:20
TN,32,1.1061,0:02:04
SV,31,5.0577,0:09:47
LV,30,1.017,0:04:21
PA,26,6.7155,0:15:29
RW,25,4.729,0:11:20
CM,24,11.9997,0:29:59
HN,24,7.8185,0:19:32
DZ,23,3.1183,0:08:08
GI,23,0.3675,0:00:57
IQ,22,0.4983,0:01:21
VI,21,1.9672,0:05:37
UZ,18,0.0244,0:00:04
KY,13,0.1807,0:00:50
ME,13,1.0076,0:04:39
MM,13,1.577,0:07:16
LR,12,1.6148,0:08:04
NP,12,2.9134,0:14:34
HT,11,1.1783,0:06:25
LC,11,3.3936,0:18:30
LU,11,0.2044,0:01:06
MN,11,0.2003,0:01:05
SS,11,0.316,0:01:43
BD,10,3.0103,0:18:03
GE,10,0.0871,0:00:31
GU,10,0.2342,0:01:24
NA,10,0.1349,0:00:48
AF,0,0,
FJ,0,0,
